Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
142,Patrick Surtain II*+,DEN,22,CB,17,17,2,77,45,58.4%,468,10.4,6.1,4,82.6,11.5,360,108,3,0,1,0.0,1,60,5,7.7%,SurtPa01
143,Tariq Woolen*,SEA,23,CB,17,17,6,66,34,51.5%,419,12.3,6.3,3,48.7,13.5,292,127,1,0,0,0.0,0,63,5,7.4%,WoolTa00
144,Myles Bryant,NWE,24,DB,17,6,1,70,47,67.1%,509,10.8,7.3,4,101.4,9.1,358,151,10,0,0,0.0,0,70,5,6.7%,BryaMy01
145,Cameron Dantzler,MIN,24,CB,10,9,0,53,41,77.4%,407,9.9,7.7,2,111.1,8.1,244,163,1,0,0,0.0,0,50,3,5.7%,DantCa00
146,Jamel Dean,TAM,26,CB,15,15,2,65,36,55.4%,469,13.0,7.2,4,86.0,14.0,318,151,3,0,0,0.0,0,57,2,3.4%,DeanJa00
147,Jaylinn Hawkins,ATL,25,S,16,16,2,38,25,65.8%,331,13.2,8.7,4,106.4,9.3,216,115,8,1,1,0.0,2,84,7,7.7%,HawkJa00
148,Troy Hill,LAR,31,CB,12,12,1,56,40,71.4%,421,10.5,7.5,3,103.3,8.0,241,180,6,0,0,0.0,0,67,8,10.7%,HillTr01
149,Ryan Neal,SEA,27,SS,14,10,1,52,26,50.0%,191,7.3,3.7,2,63.9,7.9,91,100,10,0,0,1.0,1,66,6,8.3%,NealRy00
150,Jeremiah Owusu-Koramoah,CLE,23,LB,11,10,0,39,27,69.2%,306,11.3,7.8,5,132.1,4.1,100,206,26,1,1,0.0,2,70,8,10.3%,OwusJe00
151,Chandon Sullivan,MIN,26,CB,17,10,0,72,51,70.8%,638,12.5,8.9,1,102.7,7.7,323,315,15,1,1,0.0,2,60,3,4.8%,SullCh00
152,Andrew Adams,TEN,30,DB,13,11,1,57,43,75.4%,464,10.8,8.1,2,103.3,7.6,174,290,6,1,1,0.0,2,62,9,12.7%,AdamAn00
153,Jonathan Allen*,WAS,27,DT,16,16,1,5,5,100.0%,61,12.2,12.2,1,117.5,1.6,8,53,0,4,9,7.5,21,65,1,1.5%,AlleJo01
154,DeForest Buckner,IND,28,DT,17,16,0,4,3,75.0%,3,1.0,0.8,0,77.1,-2.8,-9,12,1,9,10,8.0,29,74,2,2.6%,BuckDe00
